userId,Debug COUNT(*),Copy COUNT,Paste COUNT,Build COUNT,Total COUNT(*),Debug/Total,Copy/Total,Paste/Total,Build/Total
233,237209,1926,2072,1620,466153,0.50887,0.00413,0.00444,0.00348
443,103054,973,1314,1922,145738,0.70712,0.00668,0.00902,0.01319
449,70786,4308,5952,7295,322574,0.21944,0.01336,0.01845,0.02261
603,36005,2669,4355,9819,384388,0.09367,0.00694,0.01133,0.02554
181,25252,1878,2437,5645,147831,0.17082,0.0127,0.01649,0.03819
35,35696,3126,4197,4822,137156,0.26026,0.02279,0.0306,0.03516
310,96892,6083,6198,11101,272567,0.35548,0.02232,0.02274,0.04073
305,34345,5526,7146,12281,164710,0.20852,0.03355,0.04339,0.07456
265,58923,6245,7138,14096,345193,0.1707,0.01809,0.02068,0.04084
177,79487,2926,4192,6112,204928,0.38788,0.01428,0.02046,0.02983
